level,lgbt_support,gender,age_group,support,no_evidence,country,date_extracted,source
National,Yes,Male,15-19,1700000,5200000,USA,2021-09-13,facebook
National,Yes,Male,20-24,3800000,13200000,USA,2021-09-13,facebook
National,Yes,Male,25-29,3100000,14900000,USA,2021-09-13,facebook
National,Yes,Male,30-34,2300000,12700000,USA,2021-09-13,facebook
National,Yes,Male,35-39,1600000,10400000,USA,2021-09-13,facebook
National,Yes,Male,40-44,1200000,8800000,USA,2021-09-13,facebook
National,Yes,Male,45-49,800000,7600000,USA,2021-09-13,facebook
National,Yes,Male,50-54,680000,7220000,USA,2021-09-13,facebook
National,Yes,Male,55-59,660000,5940000,USA,2021-09-13,facebook
National,Yes,Male,60-64,420000,5080000,USA,2021-09-13,facebook
National,Yes,Female,15-19,2700000,5200000,USA,2021-09-13,facebook
National,Yes,Female,20-24,5800000,11200000,USA,2021-09-13,facebook
National,Yes,Female,25-29,4500000,11500000,USA,2021-09-13,facebook
National,Yes,Female,30-34,3900000,11100000,USA,2021-09-13,facebook
National,Yes,Female,35-39,2700000,11300000,USA,2021-09-13,facebook
National,Yes,Female,40-44,2200000,9800000,USA,2021-09-13,facebook
National,Yes,Female,45-49,1600000,8400000,USA,2021-09-13,facebook
National,Yes,Female,50-54,1300000,8600000,USA,2021-09-13,facebook
National,Yes,Female,55-59,1300000,7700000,USA,2021-09-13,facebook
National,Yes,Female,60-64,880000,7420000,USA,2021-09-13,facebook
